mean_r,std_r,kur_r,skew_r,mean_g,std_g,kur_g,skew_g,mean_b,std_b,kur_b,skew_b,entropy_r,entropy_g,contrast_r,contrast_g,contrast_b,corr_rg,corr_rb,corr_gb,moment_r,moment_g,moment_b,label
107.5734,29.26748046,0.744029186,0.408827677,110.2533,26.9532176,1.254689379,-0.135613495,113.5715,25.42205121,1.809875729,-0.95840461,9.172806953,9.178470434,9.181953223,177,173,162,0.951367612,0.913876434,0.803332866,856.5854124,726.4759391,0
178.6713,14.91775641,3.192405837,0.238174979,184.4947,14.88215616,3.035196325,0.141159823,190.8538,14.80628331,2.668142927,0.007608271,9.206853587,9.207078341,9.207314477,142,136,129,0.988324793,0.989473571,0.976786549,222.5394563,221.4785719,0
176.6517,34.61825511,-0.14633648,-0.42155229,161.3083,33.68869916,0.057177898,-0.521476463,147.276,30.80948594,0.335511488,-0.643792546,9.190168364,9.187097617,9.18673655,199,200,194,0.968581303,0.96739761,0.890845444,1198.423587,1134.928451,1
113.576,20.08450208,0.719752069,0.737728172,114.0056,19.53622196,0.65584585,0.729520978,113.6179,18.10859187,0.673000105,0.748955915,9.195123364,9.196041297,9.197972572,146,142,138,0.987382968,0.983663329,0.961305329,403.387224,381.6639686,0
125.3565,29.25159496,0.43034366,0.833496283,129.5277,28.6619684,0.475502134,0.804160645,131.9745,27.47584848,0.459661224,0.708119799,9.184169933,9.186717364,9.189257236,173,176,177,0.980726657,0.986701805,0.950291192,855.6558078,821.5084327,1
118.1554,36.19950622,-0.889653085,0.251663574,118.8584,34.28200037,-0.834122494,0.289873968,119.1568,31.38703576,-0.768567394,0.304525337,9.163088821,9.168688467,9.175708034,187,189,184,0.996260928,0.995253548,0.988161934,1310.404251,1175.255549,1
88.4514,23.09578399,2.547580245,1.517083258,95.2067,23.09692133,2.693750336,1.577944367,102.7283,22.94183251,2.581859222,1.557437347,9.179225033,9.183490034,9.18744482,149,152,148,0.978989354,0.991083227,0.970042875,533.415238,533.4677751,0
154.8923,32.7192986,0.724538427,-0.847047986,151.0467,32.76809606,0.655914225,-0.776121862,144.9664,31.78845185,0.702921085,-0.68451214,9.185774182,9.184488806,9.184060912,214,214,220,0.992551964,0.989692913,0.972874164,1070.552501,1073.748119,1
121.5183,36.4337435,-0.194232947,0.573706993,123.9483,33.41204314,-0.085148899,0.612043557,124.8193,31.15894169,-0.020451867,0.573026246,9.166334404,9.174893982,9.179807754,188,187,191,0.992990529,0.991927294,0.979163559,1327.417665,1116.364627,1
177.8842,37.31175941,-0.052607811,-0.597041535,162.8073,36.67252605,0.105638828,-0.656305455,148.814,33.56613776,0.354226147,-0.758587728,9.186786565,9.182786677,9.182405084,197,200,203,0.981787249,0.974914893,0.927943438,1392.16739,1344.874167,1
124.3427,27.20457786,0.558551999,-0.998641566,121.9616,25.67201834,0.777061165,-1.064698415,117.8439,22.95942362,1.044176946,-1.153216672,9.183661238,9.18562206,9.189238123,145,142,135,0.993180666,0.977012146,0.954125777,740.0890567,659.0525254,1
133.124,45.53764403,-1.063483339,-0.154351319,128.5033,43.78798681,-1.008969428,-0.127822044,125.4385,42.32653562,-0.958789902,-0.121177294,9.148048535,9.148650457,9.149876088,208,217,212,0.994899998,0.99394595,0.983178711,2073.677024,1917.387789,1
120.8931,35.10115771,-0.162925701,0.470093019,119.6348,35.06867304,-0.046863239,0.489251305,119.2965,33.39052542,0.047776397,0.466741231,9.168538348,9.167739615,9.171414071,189,195,196,0.992100037,0.989277922,0.976017767,1232.091272,1229.811829,0
122.5343,32.88370757,-0.030270349,0.618868875,119.9236,30.14963288,0.127198537,0.646047038,118.797,28.50653243,0.268843869,0.618866583,9.175182483,9.179526252,9.182167682,189,175,172,0.986718336,0.983091495,0.954371759,1081.338224,909.000363,1
142.5871,40.16587125,-0.784132627,-0.695580797,141.5965,39.80814851,-0.78818353,-0.692292014,140.069,38.79232964,-0.762611373,-0.696020279,9.16630256,9.166506815,9.167863628,188,186,186,0.996905542,0.99673029,0.995125489,1613.297214,1584.688688,0
123.7482,35.52954259,-0.328607847,0.762593623,124.2321,33.34198599,-0.357277084,0.746271277,125.1578,30.55137802,-0.326820515,0.693199501,9.170883111,9.175772377,9.181541948,164,160,164,0.991143886,0.992050465,0.976588997,1262.348397,1111.68803,1
95.634,5.797296266,3.526229014,0.578700182,99.6061,5.613621183,3.356690488,0.430128696,104.4812,5.565594897,3.063551683,0.230303199,9.20851782,9.208760123,9.208923548,66,65,65,0.945115732,0.966708698,0.936563089,33.608644,31.51274279,0
134.8896,49.88389532,-1.421177179,-0.023794543,133.4717,48.988121,-1.422222465,0.034575255,131.6042,46.13926248,-1.402380891,0.074263763,9.139011082,9.140700779,9.147313137,189,191,183,0.998194009,0.998209019,0.995968947,2488.403012,2399.835999,0
151.6327,38.14117448,-0.713670826,-0.401074348,150.5755,33.99986911,-0.570800998,-0.469477652,146.6125,29.8899104,-0.282252128,-0.583072457,9.176624924,9.183256514,9.188218264,195,179,172,0.993580327,0.99028515,0.974886876,1454.749191,1155.9911,1
143.6014,44.3632316,-1.175363809,-0.11939142,137.3892,40.15468744,-1.144001061,-0.099971393,131.6556,36.7353425,-1.013142238,-0.092076684,9.16037439,9.165898504,9.169926369,214,193,188,0.994343679,0.991308222,0.978381653,1968.096318,1612.398923,1
122.4429,19.66696569,7.272976855,-2.373518571,122.2253,19.82771141,7.518324687,-2.461583038,123.141,20.32421017,7.81169392,-2.574281831,9.194830066,9.19438246,9.193608542,176,179,180,0.988654719,0.986196699,0.979092982,386.7895396,393.1381399,0
201.0905,17.46408628,4.144582737,-1.351803871,193.5043,16.66823271,4.144548411,-1.089710257,187.9825,15.52058613,4.265393896,-0.650937894,9.206380909,9.206476461,9.206840425,146,148,143,0.981154552,0.968331294,0.923613464,304.9943098,277.8299815,1
102.8237,22.03546274,1.592200362,0.525618237,107.7356,22.8748747,1.55088263,0.368559504,112.0641,23.40571706,1.321110882,0.053776321,9.18749579,9.187643235,9.187888599,179,185,187,0.964796277,0.980440601,0.920777947,485.5616183,523.2598926,0
